UNITNAME,DESCRIPTN,MAX_AGE_MA,MIN_AGE_MA,DESCRIPTN_DH2LOOP,DH2LOOP_SCORE
Yandanooka Group,"Siltstone with abundant volcanic fragments, sandstone and conglomerate",1600.0,1000.0,"mudstone,andesite,sandstone,conglomerate","101,57,101,101"
Yandanunyah Formation,"Siltstone, shale, calcareous shale, locally stromatolitic carbonate",1000.0,635.0,"mudstone,mudstone,mudstone","101,101,101"
Yandeearra Granodiorite,"Biotite granodiorite, weakly to strongly foliated; metamorposed",2945.0,2919.0,granodiorite,101
Yannery Granite,Hornblende granite; massive; iron oxide minerals and hornblende replaced by chlorite; metamorphosed,2930.0,2930.0,"granite,mineralisation,hornblendite","101,62,57"
Yarlarweelor Gneiss Complex unit,Granite gneiss; reworked during the Paleoproterozoic,3352.0,1813.0,"pegmatite, granitoid, granite, gneiss, anorthosite","101,48"
Yarrabubba Monzogranite,"monzogranite, quartz veins, pseudotachylite, pegmatite",2650.0,2650.0,"monzogranite, quartz veins, pseudotachylite, pegmatite",-1
Yarragadee Formation,"Fine- to coarse-grained sandstone, thin shale interbeds",174.1,150.0,"sandstone,mudstone","101,100"
Yarraloola Conglomerate,"Polymictic cobble to small boulder conglomerate, lesser sandstone; minor siltstone",145.0,120.0,"gravel,conglomerate,sandstone,mudstone","92,101,101,101"
Yarrawolya Formation,Siltstone and silty sandstone,1000.0,541.0,"mudstone,sandstone","101,101"
Yelma Formation,"Sandstone, dolomite (locally stromatolitic), siltstone, and shale; minor conglomerate and limestone",2027.0,1811.0,"sandstone,dolostone,mudstone,mudstone,conglomerate,limestone","101,101,101,101,101,000"
Yilgarn Craton granites,"granite, mafic",3010.0,2600.0,"basalt, chert, micaite, hornblendite, ultramafic_rock, syenogranite, mafic, alkali_feldspar_trachyte, metasomatic_rock, diorite, orthogneiss, monzogranite, monzodiorite, monzonite, pegmatite, syenite, hornblende_rock, clinker, pyroxenite, coarse_grained_plutonic_crystalline_igneous_rock, granodiorite, dioritoid, clastic_sedimentary_rock, granitoid, granite, gneiss, leucitic_rock, albitized_gneiss, sedimentary_rock, tonalite, amphibolite",-1
Yilgarn Craton metamorphic unit,"Gneiss, undivided",2950.0,2640.0,gneiss,101
Youangarra Volcanics Member,mafic schist,2814.0,2814.0,mafic schist,-1
Youanmi Igneous Complex,gabbro,2825.0,2813.0,gabbro,-1
Youanmi Igneous Complex  border zone,dolerite,2825.0,2813.0,dolerite,-1
Youanmi Igneous Complex  lower zone,ultramafic schist,2825.0,2813.0,"gabbro, ultramaficschist, serpentinite",-1
Youanmi Igneous Complex  middle zone,"leucogabbro, gabbro",2825.0,2813.0,"gabbroid, gabbro, leucogabbro",-1
Youanmi Igneous Complex  upper zone,"magnetitite, leucogabbro",2825.0,2813.0,"magnetitite, dolerite, leucogabbro",-1
Youanmi Terrane greenstones,"mafic, chert, banded_iron_formation, quartzite",3131.0,2700.0,"garnetite, basalt, chert, ultramafic_rock, mafic, hornfels, banded_iron_formation, quartzite, granulite, volcaniclastic_breccia, volcaniclastic_mud, gabbro, pyroxenite, coarse_grained_plutonic_crystalline_igneous_rock, schist, ultrabasic_volcanic_rock, clastic_sedimentary_rock, sandstone, till, granite, adinole, serpentinite, kalsilitic_rock, amphibolite, iron_sediment, felsic, bituminous_coal, mudstone, creep, talc_rock",-1
Yuinmery Volcanics Member,"felsic schist, rhyolitic schist",2813.0,2813.0,"felsic schist, rhyolitic schist",-1
Ziggy Monzogranite,"Medium- to coarse-grained, seriate-textured monzogranite; variably foliated and metamorphosed",2832.0,2832.0,monzogranite,101
Zulu Granodiorite,"Biotite granodiorite; local tonalite and monzogranite; medium to coarse grained, weakly foliated",3299.0,3294.0,"granodiorite,tonalite,monzogranite","101,101,101"
cover,"mud, ferricrete, colluvium, alluvium",0.0,0.0,"mud, ferricrete, colluvium, alluvium",-1
